GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DataProcess,com.app.txt.save.generic,SaveToTxt,3,8,0,0,0,3,0,1,0,1
DataProcess,com.app.data.impl,DataImpl,0,79,0,2,0,18,0,10,0,9
DataProcess,com.app.txt.save.impl,StringToTxtSave,0,4,0,0,0,2,0,1,0,1
DataProcess,com.app.processing.impl,DataProcessingImpl,0,316,0,62,0,74,0,38,0,7
DataProcess,com.app.model,Filename,0,9,0,0,0,1,0,1,0,1
DataProcess,com.app.user,User,0,5,0,0,0,1,0,1,0,1
DataProcess,com.app.user,UserType,0,15,0,0,0,3,0,1,0,1
DataProcess,com.app.txt.load.generic,LoadFromTxt,0,7,0,0,0,1,0,1,0,1
DataProcess,com.app.parser.impl,UserLineParser,0,40,0,2,0,6,0,2,0,1
DataProcess,com.app.parser.impl,ContentLineParser,0,5,0,0,0,1,0,1,0,1
DataProcess,com.app.parser.impl,FilenameLineParser,0,33,0,2,0,6,0,2,0,1
DataProcess,com.app.txt.load.impl,UserTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.txt.load.impl,ContentTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.txt.load.impl,FilenameTxtLoad,0,5,0,0,0,2,0,1,0,1
DataProcess,com.app.repository.impl,UserRepository,0,18,0,2,0,6,0,3,0,2
DataProcess,com.app.repository.impl,DataRepository,0,57,0,4,0,16,0,7,0,5
DataProcess,com.app.repository.impl,FilenameRepository,0,18,0,2,0,6,0,3,0,2
DataProcess,com.app.txt.impl,TxtTransfer,1,131,2,16,0,27,2,12,0,5
